date,hour,energy_kWh
12-07-2012,0,0.71
12-07-2012,1,0.737
12-07-2012,2,0.596
12-07-2012,3,0.619
12-07-2012,4,0.604
12-07-2012,5,0.633
12-07-2012,6,0.725
12-07-2012,7,1.254
12-07-2012,8,0.699
12-07-2012,9,0.63
12-07-2012,10,0.892
12-07-2012,11,0.701
12-07-2012,12,0.633
12-07-2012,13,0.853
12-07-2012,14,0.79
12-07-2012,15,1.123
12-07-2012,16,1.349
12-07-2012,17,1.193
12-07-2012,18,1.02
12-07-2012,19,1.31
12-07-2012,20,0.575
12-07-2012,21,1.08
12-07-2012,22,1.417
12-07-2012,23,1.365
13-07-2012,0,0.677
13-07-2012,1,0.585
13-07-2012,2,0.526
13-07-2012,3,0.609
13-07-2012,4,0.525
13-07-2012,5,0.591
13-07-2012,6,0.534
13-07-2012,7,1
13-07-2012,8,0.548
13-07-2012,9,0.579
13-07-2012,10,0.806
13-07-2012,11,0.912
13-07-2012,12,0.557
13-07-2012,13,0.637
13-07-2012,14,0.702
13-07-2012,15,0.51
13-07-2012,16,0.738
13-07-2012,17,0.607
13-07-2012,18,2.556
13-07-2012,19,2.435
13-07-2012,20,3.456
13-07-2012,21,0.971
13-07-2012,22,1.72
13-07-2012,23,1.522
14-07-2012,0,1.121
14-07-2012,1,1.138
14-07-2012,2,0.651
14-07-2012,3,0.569
14-07-2012,4,0.562
14-07-2012,5,0.568
14-07-2012,6,0.553
14-07-2012,7,0.578
14-07-2012,8,0.663
14-07-2012,9,0.735
14-07-2012,10,0.958
14-07-2012,11,1.82
14-07-2012,12,1.422
14-07-2012,13,1.453
14-07-2012,14,1.686
14-07-2012,15,2.001
14-07-2012,16,2.264
14-07-2012,17,2.731
14-07-2012,18,2.687
14-07-2012,19,1.42
14-07-2012,20,0.57
14-07-2012,21,0.717
14-07-2012,22,1.413
14-07-2012,23,0.87
15-07-2012,0,0.615
15-07-2012,1,0.529
15-07-2012,2,0.736
15-07-2012,3,0.681
15-07-2012,4,0.576
15-07-2012,5,0.584
15-07-2012,6,0.589
15-07-2012,7,0.545
15-07-2012,8,0.571
15-07-2012,9,0.638
15-07-2012,10,1.417
15-07-2012,11,0.631
15-07-2012,12,0.568
15-07-2012,13,0.718
15-07-2012,14,0.874
15-07-2012,15,0.727
15-07-2012,16,1.988
15-07-2012,17,1.664
